num_leaves,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,coord_8,coord_9
"((3:3109929.077647757,0:3109929.077647757):3545390.0712631233,(1:4819148.9361519,2:4819148.9361519):1836170.2127589802):0;",0.0,3109929.077647757,3109929.077647757,1.0,4819148.9361519,4819148.9361519,0.0,3545390.0712631233,1836170.2127589802
"(0:6216691.866997654,((1:4893617.021258,3:4893617.021258):1074468.0851023002,2:5968085.1063603):248606.76074373614):0;",0.0,4893617.021258,4893617.021258,1.0,1074468.0851023002,5968085.1063603,1.0,6216691.866997654,248606.76074373614
"((0:5351063.8297669,3:5351063.8297669):1414024.9287180312,(1:6734042.5531659,2:6734042.5531659):31046.20582966926):0;",0.0,5351063.8297669,5351063.8297669,1.0,6734042.5531659,6734042.5531659,0.0,1414024.9287180312,31046.20582966926
"(((0:5810972.849977918,2:5810972.849977918):225558.69095658968,3:6036531.541466423):212669.62297791525,1:6249201.16486987):0;",0.0,5810972.849977918,5810972.849977918,0.0,225558.69095658968,6036531.541466423,3.0,212669.62297791525,6249201.16486987
"(((0:2776595.7446703,2:2776595.7446703):455075.6560621005,3:3231671.4010515492):1187708.2733997419,1:4419379.673387461):0;",0.0,2776595.7446703,2776595.7446703,0.0,455075.6560621005,3231671.4010515492,3.0,1187708.2733997419,4419379.673387461
"((0:5797872.3404035,3:5797872.3404035):840425.5319117,(1:4276595.7446646,2:4276595.7446646):2361702.1276506004):0;",0.0,5797872.3404035,5797872.3404035,1.0,4276595.7446646,4276595.7446646,0.0,840425.5319117,2361702.1276506004
"((1:4265957.4467923,3:4265957.4467923):881001.901166865,(2:4265957.4467923,0:4265957.4467923):881001.901166865):0;",0.0,4265957.4467923,4265957.4467923,0.0,4265957.4467923,4265957.4467923,1.0,881001.901166865,881001.901166865
"(0:6514893.61699652,((1:1776595.7446741,3:1776595.7446741):531914.8936150001,2:2308510.6382891):4206382.97870742):0;",0.0,1776595.7446741,1776595.7446741,1.0,531914.8936150001,2308510.6382891,1.0,6514893.61699652,4206382.97870742
"(((0:5797872.3404035,3:5797872.3404035):1656914.8936107252,2:7454787.234014225):104930.3833187502,1:7559717.61699255):0;",0.0,5797872.3404035,5797872.3404035,0.0,1656914.8936107252,7454787.234014225,0.0,104930.3833187502,7559717.61699255
"((0:6086742.7010407,(1:6074468.0850833,2:6074468.0850833):12274.615553144846):25695.10006373215,3:6112437.801040603):0;",0.0,6074468.0850833,6074468.0850833,1.0,6086742.7010407,12274.615553144846,4.0,25695.10006373215,6112437.801040603
