SSY,HLE,NLE,HMO,SSY-HLE,SSY-NLE,HLE-NLE,SSY-HMO,HLE-HMO,NLE-HMO,SSY-HLE-NLE,SSY-HLE-HMO,SSY-NLE-HMO,HLE-NLE-HMO,topology
3316046.614881016,3202127.6595623,3202127.6595623,3246047.7914770264,0.0,0.0,43920.13194664161,0.0,0.0,0.0,0.0,0.0,0.0,69998.8230210106,"(((HLE,NLE),HMO),SSY)"
6466288.537209471,3066903.224456431,2877525.6914784275,2877525.6914784275,0.0,0.0,0.0,0.0,0.0,189377.53319076973,0.0,0.0,0.0,3399385.31275304,"(((NLE,HMO),HLE),SSY)"
5563829.787212901,3074468.0850947,4691489.3616843,3074468.0850947,0.0,0.0,0.0,0.0,1617021.2765896001,0.0,0.0,0.0,0.0,872340.4255286,"(((HLE,HMO),NLE),SSY)"
1595744.680845,3068172.8329670643,4329006.35104738,1595744.680845,0.0,0.0,0.0,1472428.1521220643,0.0,0.0,0.0,1260833.518080315,0.0,0.0,"(((SSY,HMO),HLE),NLE)"
3968085.1063679,6878269.475505778,4720177.270194829,3968085.1063679,0.0,0.0,0.0,752092.1635077803,0.0,0.0,0.0,0.0,2158092.205310948,0.0,"(((SSY,HMO),NLE),HLE)"
4978723.4042364005,5531958.543596,4978723.4042364005,9257472.997837162,0.0,553235.1390404509,0.0,0.0,0.0,0.0,3725514.455304992,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)"
2393617.0212675,2393617.0212675,3522226.0978589556,2996251.081903508,602634.0604232419,0.0,0.0,0.0,0.0,0.0,0.0,525975.0156362992,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
4436170.2127491,6510638.2978476,3425531.9148806003,3425531.9148806003,0.0,0.0,0.0,0.0,0.0,1010638.2978685,0.0,0.0,2074468.0850985,0.0,"(((NLE,HMO),SSY),HLE)"
5053191.4893424995,5053191.4893424995,7745678.5765663115,5546459.922319349,493268.43318961497,0.0,0.0,0.0,0.0,0.0,0.0,2199218.654246962,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
1244680.8510591001,1244680.8510591001,4123404.25530348,3962765.95743175,2718085.1063726502,0.0,0.0,0.0,0.0,0.0,0.0,160638.29787173003,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
4241134.752111544,6482978.723379619,5090425.53189555,4241134.752111544,0.0,0.0,0.0,849290.7801031558,0.0,0.0,0.0,0.0,1392553.1914840702,0.0,"(((SSY,HMO),NLE),HLE)"
4808510.6382796,5600178.552106379,4808510.6382796,5515957.44678755,0.0,707446.80850795,0.0,0.0,0.0,0.0,0.0,0.0,84221.10548904167,0.0,"(((SSY,NLE),HMO),HLE)"
4081917.010622787,3851063.8297726,3851063.8297726,3947252.6553041493,0.0,0.0,96188.82532942171,0.0,0.0,0.0,0.0,0.0,0.0,134664.35542502019,"(((HLE,NLE),HMO),SSY)"
4797872.3404073,5359042.553171125,6985106.38295218,4797872.3404073,0.0,0.0,0.0,561170.212763825,0.0,0.0,0.0,1626063.829781055,0.0,0.0,"(((SSY,HMO),HLE),NLE)"
4382978.723387601,4382978.723387601,7553191.489333001,5872340.4255096,1489361.702122,0.0,0.0,0.0,0.0,0.0,0.0,1680851.0638234,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
4315602.837217643,5217021.27657592,5090425.53189555,4315602.837217643,0.0,0.0,0.0,774822.6949970557,0.0,0.0,0.0,0.0,126595.74468037001,0.0,"(((SSY,HMO),NLE),HLE)"
4663120.5670035565,3148936.1702008,3148936.1702008,4663120.5670035565,0.0,0.0,1992241.7212690252,478057.32425350253,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))"
3723404.255305,3265957.4467960997,4325696.131898456,3265957.4467960997,0.0,0.0,0.0,0.0,457446.8085089,0.0,0.0,602291.8766998389,0.0,0.0,"(((HLE,HMO),SSY),NLE)"
3734042.5531773004,3734042.5531773004,5191489.3616824,5191489.3616824,1797872.3404187001,0.0,0.0,0.0,0.0,340425.53191360005,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
3042553.1914778003,3042553.1914778003,5223404.2552993,5625595.554233942,2180851.0638215,0.0,0.0,0.0,0.0,0.0,402191.29850910994,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)"
893617.0212732,1656028.3691426434,893617.0212732,2147308.8946726914,0.0,762411.3475502944,0.0,0.0,0.0,0.0,491280.52616834594,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)"
6379432.624443843,6989361.7021011,6989361.7021011,6379432.624443843,0.0,0.0,206382.97872262,816312.0566990258,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))"
4783687.943598843,5547059.346787431,6209120.708487044,4783687.943598843,0.0,0.0,0.0,763371.4030822056,0.0,0.0,0.0,662061.3625506756,0.0,0.0,"(((SSY,HMO),HLE),NLE)"
4364361.702111076,3393617.0212637,4470212.76594046,3393617.0212637,0.0,0.0,0.0,0.0,970744.6808473751,0.0,0.0,105851.063829385,0.0,0.0,"(((HLE,HMO),SSY),NLE)"
3861702.1276449,4937043.8350876225,4911711.52764091,3861702.1276449,0.0,0.0,0.0,1050009.3994640952,0.0,0.0,0.0,0.0,25332.30828713778,0.0,"(((SSY,HMO),NLE),HLE)"
4699980.684024693,4021276.5957294,5290318.553171387,4021276.5957294,0.0,0.0,0.0,0.0,678704.0879761443,0.0,0.0,590337.8691466929,0.0,0.0,"(((HLE,HMO),SSY),NLE)"
4231289.108494559,3925531.9148787004,3925531.9148787004,4094962.449984439,0.0,0.0,169430.5347865902,0.0,0.0,0.0,0.0,0.0,0.0,136326.65904203517,"(((HLE,NLE),HMO),SSY)"
5053191.4893424995,5053191.4893424995,5856390.775509661,5744680.851042001,691489.3616995,0.0,0.0,0.0,0.0,0.0,0.0,111709.92414851168,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
6244680.851040101,6244680.851040101,7442553.19146108,7398936.17018465,1154255.31914455,0.0,0.0,0.0,0.0,0.0,0.0,43617.02127643,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
5316172.523384054,3553191.4893482,3553191.4893482,4115606.6872184034,0.0,0.0,562415.1978702033,0.0,0.0,0.0,0.0,0.0,0.0,1200565.8361656507,"(((HLE,NLE),HMO),SSY)"
6358596.213805624,6316489.361678125,4148936.170197,4148936.170197,0.0,0.0,0.0,0.0,0.0,2167553.1914811246,0.0,0.0,0.0,42106.851882818715,"(((NLE,HMO),HLE),SSY)"
3207113.6436048346,3202127.6595623,3202127.6595623,4002991.5904103206,0.0,0.0,4985.983853172543,0.0,0.0,0.0,795877.9469118692,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)"
4911347.518066443,5351063.8297669,5351063.8297669,4911347.518066443,0.0,0.0,306382.97872224,746099.2907418456,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))"
3946808.5106233004,3946808.5106233004,5578346.804234122,5578346.804234122,1867520.2063758823,0.0,0.0,0.0,0.0,235981.91265867776,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
2670212.7659473,2670212.7659473,4995332.922321443,3236187.4297749368,565974.6635084876,0.0,0.0,0.0,0.0,0.0,0.0,1759145.4925465067,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
6287234.042529301,5425531.914873,6127659.574444801,5425531.914873,0.0,0.0,0.0,0.0,702127.6595718,0.0,0.0,0.0,0.0,159574.4680845,"(((HLE,HMO),NLE),SSY)"
3744680.8510496,3744680.8510496,4063829.7872186,4063829.7872186,1761702.12765288,0.0,0.0,0.0,0.0,1442553.19148388,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
5944965.363807197,6133438.892529884,5730496.454233544,5730496.454233544,0.0,0.0,0.0,0.0,0.0,214468.91031833395,0.0,0.0,188473.52840353912,0.0,"(((NLE,HMO),SSY),HLE)"
5210719.099980199,5042553.1914702,5042553.1914702,5116168.4191294955,0.0,0.0,73615.22763801813,0.0,0.0,0.0,0.0,0.0,0.0,94550.68039325773,"(((HLE,NLE),HMO),SSY)"
2138297.8723323,2138297.8723323,5031914.8935979,5031914.8935979,3046808.51062672,0.0,0.0,0.0,0.0,153191.48936112,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
3202127.6595623,3202127.6595623,5053191.4893424995,5053191.4893424995,1995744.6808434802,0.0,0.0,0.0,0.0,144680.85106328,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
4994068.938278895,4180851.0638139006,3563829.7872205004,3563829.7872205004,0.0,0.0,0.0,0.0,0.0,617021.2765934,0.0,0.0,0.0,813217.8744649949,"(((NLE,HMO),HLE),SSY)"
4276595.7446646,4276595.7446646,3861702.1276449,3861702.1276449,1404255.3191436,0.0,0.0,0.0,0.0,1819148.9361633,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
1595744.680845,3468807.685093201,1595744.680845,2261541.5223318315,0.0,665796.8411676828,0.0,0.0,0.0,0.0,0.0,0.0,1207266.1638251997,0.0,"(((SSY,NLE),HMO),HLE)"
5556032.336149099,5393617.0212561,5393617.0212561,5461290.069128183,0.0,0.0,67673.0476805939,0.0,0.0,0.0,0.0,0.0,0.0,94742.26674432083,"(((HLE,NLE),HMO),SSY)"
6134042.55316818,3688829.787220025,2425531.9148844,2425531.9148844,0.0,0.0,0.0,0.0,0.0,1263297.8723356249,0.0,0.0,0.0,2445212.7659481554,"(((NLE,HMO),HLE),SSY)"
4489361.7021106,4489361.7021106,4655729.1265780525,4550979.267003983,61617.56460614884,0.0,0.0,0.0,0.0,0.0,0.0,104749.85981875089,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
8229787.23401128,5771276.59572275,4790780.141471157,4790780.141471157,0.0,0.0,0.0,0.0,0.0,980496.4539324443,0.0,0.0,0.0,2458510.63828853,"(((NLE,HMO),HLE),SSY)"
2702127.6595642003,2702127.6595642003,5063829.787214801,5734042.5531697,2361702.1276506004,0.0,0.0,0.0,0.0,0.0,670212.7659549001,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)"
5861702.127637301,8828784.29783879,8271119.24784091,5861702.127637301,0.0,0.0,0.0,2409417.12020361,0.0,0.0,0.0,0.0,557665.0503170298,0.0,"(((SSY,HMO),NLE),HLE)"
4595744.6808336,4595744.6808336,3425531.9148806003,3425531.9148806003,323669.04659451474,0.0,0.0,0.0,0.0,1493881.8127602807,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
5901595.744658425,8880851.06379604,4255319.1489200005,4255319.1489200005,0.0,0.0,0.0,0.0,0.0,1646276.5957384252,0.0,0.0,2979255.319137615,0.0,"(((NLE,HMO),SSY),HLE)"
4829787.2340242,4085106.3829632,4829787.2340242,4085106.3829632,0.0,148936.1702122,0.0,0.0,893617.0212732,0.0,0.0,0.0,0.0,0.0,"((SSY,NLE),(HLE,HMO))"
