SSY,HLE,NLE,HMO,SSY-HLE,SSY-NLE,HLE-NLE,SSY-HMO,HLE-HMO,NLE-HMO,SSY-HLE-NLE,SSY-HLE-HMO,SSY-NLE-HMO,HLE-NLE-HMO,topology,simulated
4148936.170197,6574468.085081400,6574468.085081400,4148936.170197,0.0,0.0,4919.139628704710,2430451.0542460800,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))",0
5180851.0638101,3531914.8936036,5010638.297853300,3531914.8936036,0.0,0.0,0.0,0.0,1478723.4042497,0.0,0.0,0.0,0.0,170212.76595680000,"(((HLE,HMO),NLE),SSY)",0
3919148.93615532,2138297.8723323,2138297.8723323,3558510.63828435,0.0,0.0,1420212.76595205,0.0,0.0,0.0,0.0,0.0,0.0,360638.29787097,"(((HLE,NLE),HMO),SSY)",0
5429632.057426180,4723404.255301200,5596897.135085110,4723404.255301200,0.0,0.0,0.0,0.0,706227.8021249760,0.0,0.0,167265.07787170500,0.0,0.0,"(((HLE,HMO),SSY),NLE)",0
2319148.9361614000,2328530.672331580,2762824.5382873700,2319148.9361614000,0.0,0.0,0.0,9381.736224432430,0.0,0.0,0.0,434293.86553026500,0.0,0.0,"(((SSY,HMO),HLE),NLE)",0
3340017.869136240,3023426.591477870,2276595.7446722,2276595.7446722,0.0,0.0,0.0,0.0,0.0,746830.8465929070,0.0,0.0,0.0,316591.27744560500,"(((NLE,HMO),HLE),SSY)",0
6212765.9574232,3265957.4467961000,3265957.4467961000,4904255.319130300,0.0,0.0,1638297.8723342,0.0,0.0,0.0,0.0,0.0,0.0,1308510.6382929,"(((HLE,NLE),HMO),SSY)",0
4530405.696791300,3914893.6170064,3914893.6170064,5533137.035085360,0.0,0.0,615512.0794657460,0.0,0.0,0.0,1002731.3384004500,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)",0
5340425.5318946,5340425.5318946,5638297.872319,5638297.872319,1212765.9574422,0.0,0.0,0.0,0.0,914893.6170178,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
4553191.4893444,2202127.6595661,2202127.6595661,4553191.4893444,0.0,0.0,2436542.384033290,85478.55387201560,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))",0
3202127.6595623,4510638.2978552,3202127.6595623,7104255.31912194,0.0,1308510.6382929,0.0,0.0,0.0,0.0,2593617.0212667400,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)",0
7893617.021246600,8074659.590394850,7042553.191462600,7042553.191462600,0.0,0.0,0.0,0.0,0.0,851063.8297840000,0.0,0.0,181042.56968016300,0.0,"(((NLE,HMO),SSY),HLE)",0
3602127.65956078,1712765.9574403,1712765.9574403,2941489.36169095,0.0,0.0,1228723.40425065,0.0,0.0,0.0,0.0,0.0,0.0,660638.29786983,"(((HLE,NLE),HMO),SSY)",0
6158596.730827660,5602836.879765940,6640728.081889660,5602836.879765940,0.0,0.0,0.0,0.0,555759.8514872500,0.0,0.0,482131.3511683810,0.0,0.0,"(((HLE,HMO),SSY),NLE)",0
3202127.6595623,3202127.6595623,4276595.7446646,5612765.957425480,1074468.0851023000,0.0,0.0,0.0,0.0,0.0,1336170.21276088,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)",0
5669796.512744410,3577782.932965130,5576954.220191570,3577782.932965130,0.0,0.0,0.0,0.0,1999171.2882902800,0.0,0.0,0.0,0.0,92842.2919358174,"(((HLE,HMO),NLE),SSY)",0
4819148.9361519,4819148.9361519,3109929.077647760,3109929.077647760,1836170.21275898,0.0,0.0,0.0,0.0,3545390.0712631200,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
5968085.1063603,4893617.021258,4893617.021258,6216691.866997650,0.0,0.0,1074468.0851023000,0.0,0.0,0.0,248606.76074373600,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)",0
6734042.5531659,6734042.5531659,5351063.8297669,5351063.8297669,31046.20582966930,0.0,0.0,0.0,0.0,1414024.9287180300,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
5810972.849977920,6249201.16486987,6036531.541466420,5810972.849977920,0.0,0.0,0.0,225558.69095659000,0.0,0.0,0.0,0.0,212669.62297791500,0.0,"(((SSY,HMO),NLE),HLE)",0
2776595.7446703,4419379.673387460,3231671.4010515500,2776595.7446703,0.0,0.0,0.0,455075.6560621010,0.0,0.0,0.0,0.0,1187708.273399740,0.0,"(((SSY,HMO),NLE),HLE)",0
4276595.7446646,4276595.7446646,5797872.3404035,5797872.3404035,2361702.1276506000,0.0,0.0,0.0,0.0,840425.5319117,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
4265957.4467923,4265957.4467923,4265957.4467923,4265957.4467923,0.0,0.0,881001.901166865,881001.901166865,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))",0
2308510.6382891,1776595.7446741,1776595.7446741,6514893.61699652,0.0,0.0,531914.8936150000,0.0,0.0,0.0,4206382.97870742,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)",0
7454787.234014230,7559717.61699255,5797872.3404035,5797872.3404035,0.0,0.0,0.0,0.0,0.0,1656914.8936107300,0.0,0.0,104930.3833187500,0.0,"(((NLE,HMO),SSY),HLE)",0
6074468.0850833,6074468.0850833,6112437.801040600,6086742.7010407,12274.615553144800,0.0,0.0,0.0,0.0,0.0,0.0,25695.10006373220,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
6414893.6169969,5382978.7233838,5382978.7233838,7499999.9999715,0.0,0.0,1031914.8936131,0.0,0.0,0.0,1085106.3829746000,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)",0
5999999.9999772,7064743.190398690,6869680.851037730,5999999.9999772,0.0,0.0,0.0,869680.8510605250,0.0,0.0,0.0,0.0,195062.33893542900,0.0,"(((SSY,HMO),NLE),HLE)",0
4510638.2978552,5702127.6595528000,6256380.570188990,4510638.2978552,0.0,0.0,0.0,1191489.3616976,0.0,0.0,0.0,554252.9104234260,0.0,0.0,"(((SSY,HMO),HLE),NLE)",0
3617021.276582,5031914.8935979,5805023.381892840,3617021.276582,0.0,0.0,0.0,1414893.6170159,0.0,0.0,0.0,773108.4879757860,0.0,0.0,"(((SSY,HMO),HLE),NLE)",0
6411347.518060740,6457446.8084861,6457446.8084861,6411347.518060740,0.0,0.0,1568085.10637702,1614184.3968023800,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))",0
7106382.9786964,5617021.2765744,4382978.723387600,4382978.723387600,0.0,0.0,0.0,0.0,0.0,1234042.5531868,0.0,0.0,0.0,1489361.702122,"(((NLE,HMO),HLE),SSY)",0
5297872.3404054,3872340.4255172,3872340.4255172,5494419.3595535900,0.0,0.0,1425531.9148882,0.0,0.0,0.0,196547.01946733800,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)",0
1882978.7233971,2464539.0074374400,1882978.7233971,3102146.8361584200,0.0,581560.2837211940,0.0,0.0,0.0,0.0,637607.8294656620,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)",0
6491128.562741290,3326676.6606256600,3308510.6382853,3308510.6382853,0.0,0.0,0.0,0.0,0.0,18166.02239354800,0.0,0.0,0.0,3164451.902115630,"(((NLE,HMO),HLE),SSY)",0
5156686.853171890,4670212.7659397000,4670212.7659397000,4875569.876577220,0.0,0.0,205357.11085028300,0.0,0.0,0.0,0.0,0.0,0.0,281116.9763819110,"(((HLE,NLE),HMO),SSY)",0
